Common Name,Scientific name,Description,Diet,Habitat 
Tundra Swan,Cygnus columbianus  ,"On wintry days, flocks of North America’s most numerous swans gather on lakes and estuaries or descend out of gray skies. A characteristic whistling in their wings led Meriwether Lewis to call them “whistling swans,” a name still in use. These elegant creatures—slightly smaller than our other native species, the Trumpeter Swan—nest on arctic tundra and visit the U.S. only on migration and in winter. Most have a smudge of yellow at the base of their black bill, but otherwise are pure white ","Tundra Swans eat mainly plant matter, although they also eat mollusks and arthropods. Plant foods include tubers, stems, and leaves of aquatic vegetation such as Carex sedges, saltmarsh starwort, alkali grass, pondweed, and Nostoc algae. During migration and on the wintering grounds (especially in the East) look for Tundra Swans in fields gleaning corn, soybeans, and rice left after the harvest, and feeding on growing winter crops such as winter wheat, rye and barley. In the Chesapeake Bay Tundra Swans use their bills and feet to root up clams from the muddy bottom. When feeding on the water Tundra Swans “tip up” like dabbling ducks to reach submerged vegetation. On their arctic breeding grounds they also graze on upland or wet-meadow tundra ","Tundra Swans breed on lakes, ponds and pools situated along river deltas in Alaska and Canada, with some birds nesting at inland sites below treeline. Breeding birds prefer areas with extensive wetlands and lakes with long shorelines that support pondweed. In fall, flocks gather (or “stage”) along the brackish shorelines of river deltas before moving south, stopping along the way at wetlands in boreal forests. Wintering flocks gather on estuaries, lakes, bays, ponds and rivers, often situated close to agricultural fields where the birds feed "
Wood Duck,Aix sponsa  ,"The Wood Duck is one of the most stunningly pretty of all waterfowl. Males are iridescent chestnut and green, with ornate patterns on nearly every feather; the elegant females have a distinctive profile and delicate white pattern around the eye. These birds live in wooded swamps, where they nest in holes in trees or in nest boxes put up around lake margins. They are one of the few duck species equipped with strong claws that can grip bark and perch on branches. ","Wood Ducks eat seeds, fruits, insects and other arthropods. When aquatic foods are unavailable they may take to dry land to eat acorns and other nuts from forests and grain from fields. Diet studies indicate a lot of variability, but plant materials make up 80% or more of what the species eats. Examples of food eaten include acorns, soybeans, smartweed, water primrose, panic grass, duckweed, millet, waterlily, blackberries and wild cherries, as well as flies, beetles, caterpillars, isopods, and snails. ","Wood Ducks thrive in bottomland forests, swamps, freshwater marshes, and beaver ponds. They are also common along streams of all sizes, from creeks to rivers, and the sheer extent of these make them an important habitat. Wood Ducks seem to fare best when open water alternates with 50–75% vegetative cover that the ducks can hide and forage in. This cover can consist of downed trees, shrubs such as alder, willow, and buttonbush, as well as emergent herbaceous plants such as arrowhead and smartweeds "
Gadwall,Anas strepera ,"In a world where male ducks sport gleaming patches of green, red, or blue, the Gadwall’s understated elegance can make this common duck easy to overlook. Males are intricately patterned with gray, brown, and black; females resemble female Mallards, although with a thinner, darker bill. We don’t tend to think of ducks as pirates, but Gadwall often snatch food from diving ducks as they surface. This widespread, adaptable duck has dramatically increased in numbers in North America since the 1980s. ","Gadwall eat mostly submerged aquatic vegetation such as algae, grasses, rushes, sedges, pondweed, widgeon grass, and water milfoil, including leaves, stems, roots, and seeds. They also eat snails, midges, water beetles, and other invertebrates. During the breeding season, animal matter can account for nearly 50 percent of an adult Gadwall’s diet, but this proportion drops to only about 5 percent animal matter during winter. ","Gadwall breed mainly in prairie potholes—small ponds scattered throughout the Great Plains and Canadian prairies. Some also breed on tundra, deltas, and wetlands in boreal forests of the far north. In developed areas with few natural ponds, Gadwall may use stock ponds. They choose well-vegetated wetlands with plenty of emergent plants to feed among and take cover in. Equally important for breeding are adjacent uplands with vegetation to conceal nests and for ducklings to hide in. On migration and in winter, look for Gadwalls in fresh and salt water marshes and well-vegetated reservoirs, beaver ponds, farm ponds, and streams. "
Eurasian Wigeon,Anas penelope  ,"Common and widespread in the Old World, the Eurasian Wigeon is a sporadic visitor to North America. Regular in very small numbers along the Pacific and Atlantic coasts, single individuals have turned up in nearly all states and provinces. ","Eurasian wigeons are aquatic grazers and feed primarily on pondweeds, eelgrass, other aquatic plants and grass found in shallow water and in fields and meadows. ","Marshes, lakes, bays, fields. In winter in North America often on marshy ponds with open ground nearby, or in flooded fields; also on shallow coastal estuaries and sheltered bays. Presence of American Wigeon is best key to good habitat for Eurasian Wigeon. "
American Wigeon,Anas americana ,"A common and increasingly abundant duck, the American Wigeon breeds in northwestern North America and is found throughout the rest of the continent in migration and in winter. Its small bill and the male's white forehead, as well as certain aspects of nesting and feeding behavior, distinguish this species from other dabbling ducks ",Aquatic plants; some insects and mollusks during the breeding season. ,"Shallow freshwater wetlands, including ponds, marshes, and rivers "
Mallard,Anas platyrhynchos ,"If someone at a park is feeding bread to ducks, chances are there are Mallards in the fray. Perhaps the most familiar of all ducks, Mallards occur throughout North America and Eurasia in ponds and parks as well as wilder wetlands and estuaries. The male’s gleaming green head, gray flanks, and black tail-curl arguably make it the most easily identified duck. Mallards have long been hunted for the table, and almost all domestic ducks come from this species ","Mallards are generalist foragers and will eat a wide variety of food. They don’t dive, but dabble to feed, tipping forward in the water to eat seeds and aquatic vegetation. They also roam around on the shore and pick at vegetation and prey on the ground. During the breeding season, they eat mainly animal matter including aquatic insect larvae, earthworms, snails and freshwater shrimp. During migration, many Mallards consume largely agricultural seed and grain. In city parks, they readily accept handouts from parkgoers ","Mallards can be found in almost any wetland habitats, including permanent wetlands such as marshes, bogs, riverine floodplains, beaver ponds, lakes, reservoirs, ponds, city parks, farms, and estuaries. They also occur in prairie potholes and ephemeral wetlands; they may be found feeding along roadside ditches, pastures, croplands and rice fields. "
Blue-winged Teal,Anas discors  ,"Pairs and small groups of this tiny dabbling duck inhabit shallow ponds and wetlands across much of North America. Blue-winged Teal are long distance migrants, with some birds heading all the way to South America for the winter. Therefore, they take off early on spring and fall migration, leaving their breeding grounds in the United States and Canada well before other species in the fall. ","Blue-winged Teal eat aquatic insects such as midge larvae, crustaceans, clams, and snails as well as vegetation and grains. Laying females eat mostly protein-rich animal matter. In winter, seeds such as rice, millet, water lilies are the predominant foods. ","Blue-winged Teal nest among grasses or herbaceous vegetation and forage in summer in shallow ponds or pond-marsh mixes. They are flightless during their late summer molt, and they spend this time in prairie potholes or large marshes. Migrants use marshes, vegetated wetlands around lakes, and rice fields, and typically stop in freshwater or brackish areas rather than saltwater. On their U.S. wintering grounds they live in fresh or brackish vegetated wetlands with lots of decaying organic matter. South of the U.S., they may use different habitats including estuaries and mangroves "
Cinnamon Teal,Anas cyanoptera ,"A small brightly colored duck, the Cinnamon Teal is found in ponds throughout the American West. ","Seeds and aquatic vegetation, aquatic and semi-terrestrial insects, snails, and zooplankton ","Uses freshwater (including highly alkaline) seasonal and semipermanent wetlands of various sizes, including large marshes, reservoirs, sluggish streams, ditches, and stock ponds "
Northern Shoveler,Anas clypeata  ,"Perhaps the most outwardly distinctive of the dabbling ducks, the Northern Shoveler inhabits wetlands across much of North America. Its elongated, spoon-shaped bill has comblike projections along its edges, which filter out food from the water. ",Small swimming invertebrates and some seeds. ,"Breeds in open, shallow wetlands. In winter, inhabits both freshwater and saline marshes. "
Northern Pintail,Anas acuta ,"Slim and long-necked, the Northern Pintail has a distinctive silhouette. The male is easy to identify by his striking markings and long tail, but even the female can be recognized by her graceful, long-necked shape ","Grain, seeds, weeds, aquatic insects, crustaceans, and snails ","Nests in open country with shallow, seasonal wetlands and low vegetation. Winters in wide variety of shallow inland freshwater and intertidal habitats. "
